standardized_smiles,scaffold,pic50,split
Brc1ccc(-c2nnc(N3CCN(c4ccccn4)CC3)o2)cc1,c1ccc(-c2nnc(N3CCN(c4ccccn4)CC3)o2)cc1,6.9,train
Brc1ccc(/C=N\C2CCN(Cc3ccccc3)C2)cc1,C(=NC1CCN(Cc2ccccc2)C1)c1ccccc1,5.76,train
Brc1ccc(CNC2CCN(Cc3ccccc3)C2)cc1,c1ccc(CNC2CCN(Cc3ccccc3)C2)cc1,6.19,train
C#CCCOc1cnc(C(=O)Nc2cccc([C@]3(C)CCSC(N)=N3)c2)cn1,O=C(Nc1cccc(C2CCSC=N2)c1)c1cnccn1,6.89,train
C#CCN(C)Cc1cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc2n1C,c1ccc(CN2CCC(CCCOc3ccc4[nH]ccc4c3)CC2)cc1,6.34,train
C#CCN(C)Cc1ccc(O)c2ncccc12,c1ccc2ncccc2c1,5.8,train
C#CCNC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cc2c3c(c1)c(CC)cn3CCS(=O)(=O)N2C,O=C(NCCc1ccccc1)c1cc2c3c(ccn3CCS(=O)(=O)N2)c1,7.035,train
C#CCNC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cc2c3c(c1)c(CC)cn3CCS(=O)(=O)O2,O=C(NCCc1ccccc1)c1cc2c3c(ccn3CCS(=O)(=O)O2)c1,6.44,test
C#CCNC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cc2c3c(cn(CC)c3c1)CCS(=O)(=O)N2C,O=C(NCCc1ccccc1)c1cc2c3c(c[nH]c3c1)CCS(=O)(=O)N2,7.77,train
C#CCOC1CCN(C(=O)Nc2ccc(F)c([C@]3(C)C[C@@H](C(F)(F)F)OC(N)=N3)c2)CC1,O=C(Nc1cccc(C2CCOC=N2)c1)N1CCCCC1,5.4,train
C#CCOc1ccc(C#Cc2ccc(F)c([C@@]3(C)N=C(N)S[C@@]4(C(=O)N(C)C)C[C@H]43)c2)nc1,C(#Cc1ccccn1)c1cccc(C2N=CSC3CC32)c1,6.79,train
C#CCOc1ccc(C(=O)Nc2cc(F)c(Cl)c([C@]3(CF)N=C(N)O[C@H]4C[C@H]43)c2)nc1,O=C(Nc1cccc(C2N=COC3CC32)c1)c1ccccn1,8.22,train
C#CCOc1ccc(C(=O)Nc2cc(F)c(F)c([C@@]3(C)N=C(N)S[C@@]4(COC)C[C@H]43)c2)nc1,O=C(Nc1cccc(C2N=CSC3CC32)c1)c1ccccn1,8.905000000000001,train
C#CCOc1ccc(C(=O)Nc2cc(F)c(F)c([C@]3(C)C[C@@H](C(F)(F)F)OC(N)=N3)c2)nc1,O=C(Nc1cccc(C2CCOC=N2)c1)c1ccccn1,7.57,train
C#CCOc1ccc(C(=O)Nc2cc(F)c(F)c([C@]3(CF)C[C@@H](C(F)(F)F)OC(N)=N3)c2)nc1,O=C(Nc1cccc(C2CCOC=N2)c1)c1ccccn1,7.46,train
C#CCOc1ccc(C(=O)Nc2ccc(F)c([C@@]3(C(F)F)N=C(N)O[C@@H]4C[C@@H]43)c2)nc1,O=C(Nc1cccc(C2N=COC3CC32)c1)c1ccccn1,7.79,train
C#CCOc1ccc(C(=O)Nc2ccc(F)c([C@@]3(CF)N=C(N)O[C@@H]4C[C@@H]43)c2)nc1,O=C(Nc1cccc(C2N=COC3CC32)c1)c1ccccn1,7.56,train
C#CCOc1ccc(C(=O)Nc2ccc(F)c([C@]3(C)C[C@@H](C(F)(F)F)OC(N)=N3)c2)nc1,O=C(Nc1cccc(C2CCOC=N2)c1)c1ccccn1,7.89,train
C#CCOc1cnc(/C(F)=C/c2cc(F)c(F)c([C@]3(C)CS(=O)(=O)C(C)(C)C(N)=N3)c2)cn1,O=S1(=O)CC=NC(c2cccc(C=Cc3cnccn3)c2)C1,8.175,train
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@@]3(C)N=C(N)C(C)(C)S(=O)(=O)C3(F)F)c2)cn1,O=S1(=O)CC=NC(c2cccc(C=Cc3cnccn3)c2)C1,5.9,train
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@@]3(C)N=C(N)C(C)(C)S(=O)(=O)[C@@H]3F)c2)cn1,O=S1(=O)CC=NC(c2cccc(C=Cc3cnccn3)c2)C1,7.445,train
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@@]3(C)N=C(N)C(C)(C)S(=O)(=O)[C@H]3F)c2)cn1,O=S1(=O)CC=NC(c2cccc(C=Cc3cnccn3)c2)C1,7.220000000000001,train
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@@]3(C)N=C(N)N(C)S(=O)(=O)C3(C)C)c2)cn1,O=S1(=O)CC(c2cccc(C=Cc3cnccn3)c2)N=CN1,7.505,train
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@@]3(C)N=C(N)N(C)S(=O)(=O)C34CC4)c2)cn1,O=S1(=O)NC=NC(c2cccc(C=Cc3cnccn3)c2)C12CC2,7.455,train
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@@]3(C)N=C(N)OCC3(F)F)c2)cn1,C(=Cc1cnccn1)c1cccc(C2CCOC=N2)c1,5.94,train
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@@]3(C)N=C(N)OC[C@@H]3OCC(F)(F)F)c2)cn1,C(=Cc1cnccn1)c1cccc(C2CCOC=N2)c1,7.025,train
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@@]3(C)N=C(N)S[C@@]4(C#N)C[C@H]43)c2)cn1,C(=Cc1cnccn1)c1cccc(C2N=CSC3CC32)c1,8.92,train
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@@]3(C)N=C(N)S[C@@]4(C(=O)N(C)C)C[C@H]43)c2)cn1,C(=Cc1cnccn1)c1cccc(C2N=CSC3CC32)c1,8.41,train
