epoch,train_mse_normalized,validation_mae
1,0.5116265459830717,0.6731007099151611
2,0.28051909278638615,0.6307657361030579
3,0.22634293307428774,0.6337553858757019
4,0.1937472400828178,0.6099253296852112
5,0.16332925319301417,0.624600350856781
6,0.14566984580170295,0.6908844709396362
7,0.13735720626315714,0.6559576392173767
8,0.12491573326706146,0.6143991351127625
9,0.11382067273862613,0.6211919784545898
10,0.10783771052493812,0.6246220469474792
11,0.10546966654173336,0.6279325485229492
12,0.09664555297505041,0.6211798787117004
13,0.09359709776428916,0.6275455355644226
14,0.08903072937304929,0.6172316074371338
15,0.0877601259335968,0.6486287117004395
16,0.08636561272584874,0.6448653340339661
17,0.08310296822408712,0.642661988735199
18,0.08195929840114546,0.6307393312454224
19,0.07977021699366363,0.6568917632102966
